first_name,last_name,gender,level,rollsheetComment,rollsheetMedical,additionalMedical,dob
Iggie,Chalkly,M,8,Optimized demand-driven data-warehouse,,,23/07/2011
Dunc,Burless,M,11,Upgradable logistical complexity,,,22/05/2010
Alexia,Clemensen,F,8,,,,28/10/2014
Robb,Storre,M,3,Enterprise-wide 6th generation capability,,,17/12/2010
Shaylah,Colgan,F,10,,,,13/08/2013
Lynnelle,McKie,F,16,Decentralized radical workforce,"Echinococcus multilocularis infection, unspecified","Echinococcus multilocularis infection, unspecified",10/02/2007
Bettye,MacCaffery,F,14,Multi-tiered neutral neural-net,,,24/05/2017
Bennie,Sellner,F,6,Reduced tertiary implementation,,,07/10/2013
Pierrette,Lovie,F,11,,"Superficial foreign body of unspecified hand, subs encntr","Superficial foreign body of unspecified hand, subsequent encounter",10/02/2021
Homerus,Eldred,M,17,Centralized national attitude,,,19/03/2018
Bradley,Pallas,M,12,Persevering zero defect website,,,23/11/2018
Robin,Vaughten,M,4,,,,07/06/2011
Kearney,Sutter,M,2,Customer-focused incremental synergy,,,25/01/2020
Josefa,Skipton,F,2,Cross-group secondary complexity,,,06/05/2012
Bradly,Michel,M,17,Multi-lateral foreground access,,,13/09/2020
Hyacinth,Woodroof,F,9,Distributed background project,,,13/04/2015
Allyson,Oles,F,8,Future-proofed attitude-oriented groupware,,,09/12/2005
Godwin,Bromwich,M,6,Function-based non-volatile orchestration,,,15/11/2018
Julienne,Osanne,F,7,Virtual zero defect attitude,"Unspecified dislocation of right radial head, init encntr","Unspecified dislocation of right radial head, initial encounter",19/06/2020
Pinchas,Matiebe,M,11,Seamless background architecture,,,25/10/2014
Annalise,Peagrim,F,17,Mandatory dynamic benchmark,,,16/11/2014
Myrlene,Mac Giany,F,6,Reduced bandwidth-monitored archive,"Unsp fx unsp forearm, subs for opn fx type 3A/B/C w nonunion","Unspecified fracture of unspecified forearm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",30/08/2013
Saunder,Sydall,M,13,,,,01/11/2014
Marga,Carratt,F,13,Total tertiary ability,,,02/05/2018
Mavra,Meininger,F,5,,,,03/12/2005
Booth,Di Gregorio,M,4,,,,17/03/2012
Royce,Wyrall,M,14,,,,03/07/2009
Nicholas,Clulee,M,4,,,,20/06/2010
Allyson,Label,F,10,Multi-channelled contextually-based methodology,,,06/07/2006
Kennett,Gudgin,M,1,Organized interactive productivity,,,18/03/2018
